blockNum,blockName,pracNum,tryNum,maxScore,trialNum,stimulus,corrAns,slideFile1,slideFile2,slideFile3,stimulus_file,box1_file,box2_file
1,Demo 1,1,0,6,1,long-red-crayon,long_crayon_box,NA,NA,DEMO,resources/imgs/crayon/longred_whbg_transp.png,resources/imgs/crayon/boxlongred_whbg.png,resources/imgs/crayon/boxshortred_whbg.png
1,Demo 1,1,0,6,2,short-red-crayon,short_crayon_box,NA,NA,NA,resources/imgs/crayon/shortred_whbg_transp.png,NA,NA
1,Demo 1,1,0,6,3,long-red-crayon,long_crayon_box,NA,NA,NA,resources/imgs/crayon/longred_whbg_transp.png,NA,NA
1,Demo 1,1,0,6,4,short-red-crayon,short_crayon_box,NA,NA,NA,resources/imgs/crayon/shortred_whbg_transp.png,NA,NA
1,Demo 1,1,0,6,5,short-red-crayon,short_crayon_box,NA,NA,NA,resources/imgs/crayon/shortred_whbg_transp.png,NA,NA
1,Demo 1,1,0,6,6,long-red-crayon,long_crayon_box,NA,NA,NA,resources/imgs/crayon/longred_whbg_transp.png,NA,NA
2,Practice 1,1,1,6,1,long-red-crayon,long_crayon_box,NA,NA,slide-03,resources/imgs/crayon/longred_whbg_transp.png,resources/imgs/crayon/boxlongred_whbg.png,resources/imgs/crayon/boxshortred_whbg.png
2,Practice 1,1,1,6,2,short-red-crayon,short_crayon_box,NA,NA,NA,resources/imgs/crayon/shortred_whbg_transp.png,NA,NA
2,Practice 1,1,1,6,3,long-red-crayon,long_crayon_box,NA,NA,NA,resources/imgs/crayon/longred_whbg_transp.png,NA,NA
2,Practice 1,1,1,6,4,short-red-crayon,short_crayon_box,NA,NA,NA,resources/imgs/crayon/shortred_whbg_transp.png,NA,NA
2,Practice 1,1,1,6,5,short-red-crayon,short_crayon_box,NA,NA,NA,resources/imgs/crayon/shortred_whbg_transp.png,NA,NA
2,Practice 1,1,1,6,6,long-red-crayon,long_crayon_box,NA,NA,NA,resources/imgs/crayon/longred_whbg_transp.png,NA,NA
5,Rule 1,NA,NA,10,1,long-red-crayon,long_crayon_box,NA,NA,slide-04,resources/imgs/crayon/longred_whbg_transp.png,resources/imgs/crayon/boxlongred_whbg.png,resources/imgs/crayon/boxshortred_whbg.png
5,Rule 1,NA,NA,10,2,short-red-crayon,short_crayon_box,NA,NA,NA,resources/imgs/crayon/shortred_whbg_transp.png,NA,NA
5,Rule 1,NA,NA,10,3,short-red-crayon,short_crayon_box,NA,NA,NA,resources/imgs/crayon/shortred_whbg_transp.png,NA,NA
5,Rule 1,NA,NA,10,4,long-red-crayon,long_crayon_box,NA,NA,NA,resources/imgs/crayon/longred_whbg_transp.png,NA,NA
5,Rule 1,NA,NA,10,5,short-red-crayon,short_crayon_box,NA,NA,NA,resources/imgs/crayon/shortred_whbg_transp.png,NA,NA
5,Rule 1,NA,NA,10,6,long-red-crayon,long_crayon_box,NA,NA,NA,resources/imgs/crayon/longred_whbg_transp.png,NA,NA
5,Rule 1,NA,NA,10,7,long-red-crayon,long_crayon_box,NA,NA,NA,resources/imgs/crayon/longred_whbg_transp.png,NA,NA
5,Rule 1,NA,NA,10,8,short-red-crayon,short_crayon_box,NA,NA,NA,resources/imgs/crayon/shortred_whbg_transp.png,NA,NA
5,Rule 1,NA,NA,10,9,short-red-crayon,short_crayon_box,NA,NA,NA,resources/imgs/crayon/shortred_whbg_transp.png,NA,NA
5,Rule 1,NA,NA,10,10,long-red-crayon,long_crayon_box,NA,NA,NA,resources/imgs/crayon/longred_whbg_transp.png,NA,NA
6,Demo 2,2,0,6,1,long-red-crayon,short_crayon_box,NA,NA,DEMO,resources/imgs/crayon/longred_whbg_transp.png,resources/imgs/crayon/boxlongred_whbg.png,resources/imgs/crayon/boxshortred_whbg.png
6,Demo 2,2,0,6,2,short-red-crayon,long_crayon_box,NA,NA,NA,resources/imgs/crayon/shortred_whbg_transp.png,NA,NA
6,Demo 2,2,0,6,3,long-red-crayon,short_crayon_box,NA,NA,NA,resources/imgs/crayon/longred_whbg_transp.png,NA,NA
6,Demo 2,2,0,6,4,short-red-crayon,long_crayon_box,NA,NA,NA,resources/imgs/crayon/shortred_whbg_transp.png,NA,NA
6,Demo 2,2,0,6,5,short-red-crayon,long_crayon_box,NA,NA,NA,resources/imgs/crayon/shortred_whbg_transp.png,NA,NA
6,Demo 2,2,0,6,6,long-red-crayon,short_crayon_box,NA,NA,NA,resources/imgs/crayon/longred_whbg_transp.png,NA,NA
7,Practice 2,2,1,6,1,long-red-crayon,short_crayon_box,NA,NA,slide-06,resources/imgs/crayon/longred_whbg_transp.png,resources/imgs/crayon/boxlongred_whbg.png,resources/imgs/crayon/boxshortred_whbg.png
7,Practice 2,2,1,6,2,short-red-crayon,long_crayon_box,NA,NA,NA,resources/imgs/crayon/shortred_whbg_transp.png,NA,NA
7,Practice 2,2,1,6,3,long-red-crayon,short_crayon_box,NA,NA,NA,resources/imgs/crayon/longred_whbg_transp.png,NA,NA
7,Practice 2,2,1,6,4,short-red-crayon,long_crayon_box,NA,NA,NA,resources/imgs/crayon/shortred_whbg_transp.png,NA,NA
7,Practice 2,2,1,6,5,short-red-crayon,long_crayon_box,NA,NA,NA,resources/imgs/crayon/shortred_whbg_transp.png,NA,NA
7,Practice 2,2,1,6,6,long-red-crayon,short_crayon_box,NA,NA,NA,resources/imgs/crayon/longred_whbg_transp.png,NA,NA
10,Rule 2,NA,NA,10,1,short-red-crayon,long_crayon_box,NA,NA,slide-07,resources/imgs/crayon/shortred_whbg_transp.png,resources/imgs/crayon/boxlongred_whbg.png,resources/imgs/crayon/boxshortred_whbg.png
10,Rule 2,NA,NA,10,2,long-red-crayon,short_crayon_box,NA,NA,NA,resources/imgs/crayon/longred_whbg_transp.png,NA,NA
10,Rule 2,NA,NA,10,3,long-red-crayon,short_crayon_box,NA,NA,NA,resources/imgs/crayon/longred_whbg_transp.png,NA,NA
10,Rule 2,NA,NA,10,4,short-red-crayon,long_crayon_box,NA,NA,NA,resources/imgs/crayon/shortred_whbg_transp.png,NA,NA
10,Rule 2,NA,NA,10,5,long-red-crayon,short_crayon_box,NA,NA,NA,resources/imgs/crayon/longred_whbg_transp.png,NA,NA
10,Rule 2,NA,NA,10,6,short-red-crayon,long_crayon_box,NA,NA,NA,resources/imgs/crayon/shortred_whbg_transp.png,NA,NA
10,Rule 2,NA,NA,10,7,short-red-crayon,long_crayon_box,NA,NA,NA,resources/imgs/crayon/shortred_whbg_transp.png,NA,NA
10,Rule 2,NA,NA,10,8,long-red-crayon,short_crayon_box,NA,NA,NA,resources/imgs/crayon/longred_whbg_transp.png,NA,NA
10,Rule 2,NA,NA,10,9,long-red-crayon,short_crayon_box,NA,NA,NA,resources/imgs/crayon/longred_whbg_transp.png,NA,NA
10,Rule 2,NA,NA,10,10,short-red-crayon,long_crayon_box,NA,NA,NA,resources/imgs/crayon/shortred_whbg_transp.png,NA,NA
11,Demo 3,3,0,8,1,long-red-crayon,long_crayon_box,NA,NA,DEMO,resources/imgs/crayon/longred_whbg_transp.png,resources/imgs/crayon/boxlongoutline_whbg.png,resources/imgs/crayon/boxshortoutline_whbg.png
11,Demo 3,3,0,8,2,short-yellow-crayon,long_crayon_box,NA,NA,NA,resources/imgs/crayon/shortyellow_whbg_transp.png,NA,NA
11,Demo 3,3,0,8,3,long-yellow-crayon,short_crayon_box,NA,NA,NA,resources/imgs/crayon/longyellow_whbg_transp.png,NA,NA
11,Demo 3,3,0,8,4,short-red-crayon,short_crayon_box,NA,NA,NA,resources/imgs/crayon/shortred_whbg_transp.png,NA,NA
11,Demo 3,3,0,8,5,short-yellow-crayon,long_crayon_box,NA,NA,NA,resources/imgs/crayon/shortyellow_whbg_transp.png,NA,NA
11,Demo 3,3,0,8,6,short-red-crayon,short_crayon_box,NA,NA,NA,resources/imgs/crayon/shortred_whbg_transp.png,NA,NA
11,Demo 3,3,0,8,7,long-red-crayon,long_crayon_box,NA,NA,NA,resources/imgs/crayon/longred_whbg_transp.png,NA,NA
11,Demo 3,3,0,8,8,long-yellow-crayon,short_crayon_box,NA,NA,NA,resources/imgs/crayon/longyellow_whbg_transp.png,NA,NA
12,Practice 3,3,1,8,1,long-red-crayon,long_crayon_box,NA,NA,slide-09,resources/imgs/crayon/longred_whbg_transp.png,resources/imgs/crayon/boxlongoutline_whbg.png,resources/imgs/crayon/boxshortoutline_whbg.png
12,Practice 3,3,1,8,2,short-yellow-crayon,long_crayon_box,NA,NA,NA,resources/imgs/crayon/shortyellow_whbg_transp.png,NA,NA
12,Practice 3,3,1,8,3,long-yellow-crayon,short_crayon_box,NA,NA,NA,resources/imgs/crayon/longyellow_whbg_transp.png,NA,NA
12,Practice 3,3,1,8,4,short-red-crayon,short_crayon_box,NA,NA,NA,resources/imgs/crayon/shortred_whbg_transp.png,NA,NA
12,Practice 3,3,1,8,5,short-yellow-crayon,long_crayon_box,NA,NA,NA,resources/imgs/crayon/shortyellow_whbg_transp.png,NA,NA
12,Practice 3,3,1,8,6,short-red-crayon,short_crayon_box,NA,NA,NA,resources/imgs/crayon/shortred_whbg_transp.png,NA,NA
12,Practice 3,3,1,8,7,long-red-crayon,long_crayon_box,NA,NA,NA,resources/imgs/crayon/longred_whbg_transp.png,NA,NA
12,Practice 3,3,1,8,8,long-yellow-crayon,short_crayon_box,NA,NA,NA,resources/imgs/crayon/longyellow_whbg_transp.png,NA,NA
15,Rule 3,NA,NA,16,1,short-red-crayon,short_crayon_box,NA,NA,slide-10,resources/imgs/crayon/shortred_whbg_transp.png,resources/imgs/crayon/boxlongoutline_whbg.png,resources/imgs/crayon/boxshortoutline_whbg.png
15,Rule 3,NA,NA,16,2,short-red-crayon,short_crayon_box,NA,NA,NA,resources/imgs/crayon/shortred_whbg_transp.png,NA,NA
15,Rule 3,NA,NA,16,3,long-yellow-crayon,short_crayon_box,NA,NA,NA,resources/imgs/crayon/longyellow_whbg_transp.png,NA,NA
15,Rule 3,NA,NA,16,4,short-yellow-crayon,long_crayon_box,NA,NA,NA,resources/imgs/crayon/shortyellow_whbg_transp.png,NA,NA
15,Rule 3,NA,NA,16,5,long-yellow-crayon,short_crayon_box,NA,NA,NA,resources/imgs/crayon/longyellow_whbg_transp.png,NA,NA
15,Rule 3,NA,NA,16,6,short-yellow-crayon,long_crayon_box,NA,NA,NA,resources/imgs/crayon/shortyellow_whbg_transp.png,NA,NA
15,Rule 3,NA,NA,16,7,long-red-crayon,long_crayon_box,NA,NA,NA,resources/imgs/crayon/longred_whbg_transp.png,NA,NA
15,Rule 3,NA,NA,16,8,short-red-crayon,short_crayon_box,NA,NA,NA,resources/imgs/crayon/shortred_whbg_transp.png,NA,NA
15,Rule 3,NA,NA,16,9,short-red-crayon,short_crayon_box,NA,NA,NA,resources/imgs/crayon/shortred_whbg_transp.png,NA,NA
15,Rule 3,NA,NA,16,10,short-yellow-crayon,long_crayon_box,NA,NA,NA,resources/imgs/crayon/shortyellow_whbg_transp.png,NA,NA
15,Rule 3,NA,NA,16,11,long-yellow-crayon,short_crayon_box,NA,NA,NA,resources/imgs/crayon/longyellow_whbg_transp.png,NA,NA
15,Rule 3,NA,NA,16,12,long-red-crayon,long_crayon_box,NA,NA,NA,resources/imgs/crayon/longred_whbg_transp.png,NA,NA
15,Rule 3,NA,NA,16,13,short-yellow-crayon,long_crayon_box,NA,NA,NA,resources/imgs/crayon/shortyellow_whbg_transp.png,NA,NA
15,Rule 3,NA,NA,16,14,short-red-crayon,short_crayon_box,NA,NA,NA,resources/imgs/crayon/shortred_whbg_transp.png,NA,NA
15,Rule 3,NA,NA,16,15,long-red-crayon,long_crayon_box,NA,NA,NA,resources/imgs/crayon/longred_whbg_transp.png,NA,NA
15,Rule 3,NA,NA,16,16,long-yellow-crayon,short_crayon_box,NA,NA,NA,resources/imgs/crayon/longyellow_whbg_transp.png,NA,NA
