blockNum,blockName,pracNum,tryNum,maxScore,trialNum,stimulus,corrAns,slideFile1,slideFile2,slideFile3,stimulus_file,box1_file,box2_file
1,Demo 1,1,0,6,1,big-elephant,big_elephant_box,NA,NA,DEMO,resources/imgs/elephant/elephant-big-transp.png,resources/imgs/elephant/elephant-box-big.png,resources/imgs/elephant/penguin-box.png
1,Demo 1,1,0,6,2,penguin,penguin_box,NA,NA,NA,resources/imgs/elephant/penguin-transp.png,NA,NA
1,Demo 1,1,0,6,3,big-elephant,big_elephant_box,NA,NA,NA,resources/imgs/elephant/elephant-big-transp.png,NA,NA
1,Demo 1,1,0,6,4,penguin,penguin_box,NA,NA,NA,resources/imgs/elephant/penguin-transp.png,NA,NA
1,Demo 1,1,0,6,5,penguin,penguin_box,NA,NA,NA,resources/imgs/elephant/penguin-transp.png,NA,NA
1,Demo 1,1,0,6,6,big-elephant,big_elephant_box,NA,NA,NA,resources/imgs/elephant/elephant-big-transp.png,NA,NA
2,Practice 1,1,1,6,1,big-elephant,big_elephant_box,NA,NA,slide-03,resources/imgs/elephant/elephant-big-transp.png,resources/imgs/elephant/elephant-box-big.png,resources/imgs/elephant/penguin-box.png
2,Practice 1,1,1,6,2,penguin,penguin_box,NA,NA,NA,resources/imgs/elephant/penguin-transp.png,NA,NA
2,Practice 1,1,1,6,3,big-elephant,big_elephant_box,NA,NA,NA,resources/imgs/elephant/elephant-big-transp.png,NA,NA
2,Practice 1,1,1,6,4,penguin,penguin_box,NA,NA,NA,resources/imgs/elephant/penguin-transp.png,NA,NA
2,Practice 1,1,1,6,5,penguin,penguin_box,NA,NA,NA,resources/imgs/elephant/penguin-transp.png,NA,NA
2,Practice 1,1,1,6,6,big-elephant,big_elephant_box,NA,NA,NA,resources/imgs/elephant/elephant-big-transp.png,NA,NA
3,Rule 1,NA,NA,6,1,big-elephant,big_elephant_box,NA,NA,slide-04,resources/imgs/elephant/elephant-big-transp.png,resources/imgs/elephant/elephant-box-big.png,resources/imgs/elephant/penguin-box.png
3,Rule 1,NA,NA,6,2,penguin,penguin_box,NA,NA,NA,resources/imgs/elephant/penguin-transp.png,NA,NA
3,Rule 1,NA,NA,6,3,penguin,penguin_box,NA,NA,NA,resources/imgs/elephant/penguin-transp.png,NA,NA
3,Rule 1,NA,NA,6,4,big-elephant,big_elephant_box,NA,NA,NA,resources/imgs/elephant/elephant-big-transp.png,NA,NA
3,Rule 1,NA,NA,6,5,penguin,penguin_box,NA,NA,NA,resources/imgs/elephant/penguin-transp.png,NA,NA
3,Rule 1,NA,NA,6,6,big-elephant,big_elephant_box,NA,NA,NA,resources/imgs/elephant/elephant-big-transp.png,NA,NA
4,Demo 2,1,0,6,1,big-elephant,big_elephant_box,NA,NA,DEMO,resources/imgs/elephant/elephant-big-transp.png,resources/imgs/elephant/elephant-box-big.png,resources/imgs/elephant/elephant-box-small.png
4,Demo 2,1,0,6,2,small-elephant,small_elephant_box,NA,NA,NA,resources/imgs/elephant/elephant-small-transp.png,NA,NA
4,Demo 2,1,0,6,3,big-elephant,big_elephant_box,NA,NA,NA,resources/imgs/elephant/elephant-big-transp.png,NA,NA
4,Demo 2,1,0,6,4,small-elephant,small_elephant_box,NA,NA,NA,resources/imgs/elephant/elephant-small-transp.png,NA,NA
4,Demo 2,1,0,6,5,small-elephant,small_elephant_box,NA,NA,NA,resources/imgs/elephant/elephant-small-transp.png,NA,NA
4,Demo 2,1,0,6,6,big-elephant,big_elephant_box,NA,NA,NA,resources/imgs/elephant/elephant-big-transp.png,NA,NA
5,Practice 2,1,1,6,1,big-elephant,big_elephant_box,NA,NA,slide-03,resources/imgs/elephant/elephant-big-transp.png,resources/imgs/elephant/elephant-box-big.png,resources/imgs/elephant/elephant-box-small.png
5,Practice 2,1,1,6,2,small-elephant,small_elephant_box,NA,NA,NA,resources/imgs/elephant/elephant-small-transp.png,NA,NA
5,Practice 2,1,1,6,3,big-elephant,big_elephant_box,NA,NA,NA,resources/imgs/elephant/elephant-big-transp.png,NA,NA
5,Practice 2,1,1,6,4,small-elephant,small_elephant_box,NA,NA,NA,resources/imgs/elephant/elephant-small-transp.png,NA,NA
5,Practice 2,1,1,6,5,small-elephant,small_elephant_box,NA,NA,NA,resources/imgs/elephant/elephant-small-transp.png,NA,NA
5,Practice 2,1,1,6,6,big-elephant,big_elephant_box,NA,NA,NA,resources/imgs/elephant/elephant-big-transp.png,NA,NA
