blockNum,blockName,pracNum,tryNum,maxScore,trialNum,stimulus,corrAns,slideFile1,slideFile2,slideFile3
1,Demo 1,1,0,6,1,day,day_box,new-slide-1,new-slide-2,DEMO
1,Demo 1,1,0,6,2,night,night_box,NA,NA,NA
1,Demo 1,1,0,6,3,day,day_box,NA,NA,NA
1,Demo 1,1,0,6,4,night,night_box,NA,NA,NA
1,Demo 1,1,0,6,5,night,night_box,NA,NA,NA
1,Demo 1,1,0,6,6,day,day_box,NA,NA,NA
2,Practice 1,1,1,6,1,day,day_box,NA,NA,slide-03
2,Practice 1,1,1,6,2,night,night_box,NA,NA,NA
2,Practice 1,1,1,6,3,day,day_box,NA,NA,NA
2,Practice 1,1,1,6,4,night,night_box,NA,NA,NA
2,Practice 1,1,1,6,5,night,night_box,NA,NA,NA
2,Practice 1,1,1,6,6,day,day_box,NA,NA,NA
3,Practice 1,1,2,6,1,day,day_box,NA,NA,slide-03
3,Practice 1,1,2,6,2,night,night_box,NA,NA,NA
3,Practice 1,1,2,6,3,day,day_box,NA,NA,NA
3,Practice 1,1,2,6,4,night,night_box,NA,NA,NA
3,Practice 1,1,2,6,5,night,night_box,NA,NA,NA
3,Practice 1,1,2,6,6,day,day_box,NA,NA,NA
4,Practice 1,1,3,6,1,day,day_box,NA,NA,slide-03
4,Practice 1,1,3,6,2,night,night_box,NA,NA,NA
4,Practice 1,1,3,6,3,day,day_box,NA,NA,NA
4,Practice 1,1,3,6,4,night,night_box,NA,NA,NA
4,Practice 1,1,3,6,5,night,night_box,NA,NA,NA
4,Practice 1,1,3,6,6,day,day_box,NA,NA,NA
5,Rule 1,NA,NA,10,1,day,day_box,NA,NA,slide-04
5,Rule 1,NA,NA,10,2,night,night_box,NA,NA,NA
5,Rule 1,NA,NA,10,3,night,night_box,NA,NA,NA
5,Rule 1,NA,NA,10,4,day,day_box,NA,NA,NA
5,Rule 1,NA,NA,10,5,night,night_box,NA,NA,NA
5,Rule 1,NA,NA,10,6,day,day_box,NA,NA,NA
5,Rule 1,NA,NA,10,7,day,day_box,NA,NA,NA
5,Rule 1,NA,NA,10,8,night,night_box,NA,NA,NA
5,Rule 1,NA,NA,10,9,night,night_box,NA,NA,NA
5,Rule 1,NA,NA,10,10,day,day_box,NA,NA,NA
6,Demo 2,2,0,6,1,day,night_box,NA,new-slide-3,DEMO
6,Demo 2,2,0,6,2,night,day_box,NA,NA,NA
6,Demo 2,2,0,6,3,day,night_box,NA,NA,NA
6,Demo 2,2,0,6,4,night,day_box,NA,NA,NA
6,Demo 2,2,0,6,5,night,day_box,NA,NA,NA
6,Demo 2,2,0,6,6,day,night_box,NA,NA,NA
7,Practice 2,2,1,6,1,day,night_box,NA,NA,slide-06
7,Practice 2,2,1,6,2,night,day_box,NA,NA,NA
7,Practice 2,2,1,6,3,day,night_box,NA,NA,NA
7,Practice 2,2,1,6,4,night,day_box,NA,NA,NA
7,Practice 2,2,1,6,5,night,day_box,NA,NA,NA
7,Practice 2,2,1,6,6,day,night_box,NA,NA,NA
8,Practice 2,2,2,6,1,day,night_box,NA,NA,slide-06
8,Practice 2,2,2,6,2,night,day_box,NA,NA,NA
8,Practice 2,2,2,6,3,day,night_box,NA,NA,NA
8,Practice 2,2,2,6,4,night,day_box,NA,NA,NA
8,Practice 2,2,2,6,5,night,day_box,NA,NA,NA
8,Practice 2,2,2,6,6,day,night_box,NA,NA,NA
9,Practice 2,2,3,6,1,day,night_box,NA,NA,slide-06
9,Practice 2,2,3,6,2,night,day_box,NA,NA,NA
9,Practice 2,2,3,6,3,day,night_box,NA,NA,NA
9,Practice 2,2,3,6,4,night,day_box,NA,NA,NA
9,Practice 2,2,3,6,5,night,day_box,NA,NA,NA
9,Practice 2,2,3,6,6,day,night_box,NA,NA,NA
10,Rule 2,NA,NA,10,1,night,day_box,NA,NA,slide-07
10,Rule 2,NA,NA,10,2,day,night_box,NA,NA,NA
10,Rule 2,NA,NA,10,3,day,night_box,NA,NA,NA
10,Rule 2,NA,NA,10,4,night,day_box,NA,NA,NA
10,Rule 2,NA,NA,10,5,day,night_box,NA,NA,NA
10,Rule 2,NA,NA,10,6,night,day_box,NA,NA,NA
10,Rule 2,NA,NA,10,7,night,day_box,NA,NA,NA
10,Rule 2,NA,NA,10,8,day,night_box,NA,NA,NA
10,Rule 2,NA,NA,10,9,day,night_box,NA,NA,NA
10,Rule 2,NA,NA,10,10,night,day_box,NA,NA,NA
