blockNum,blockName,pracNum,tryNum,maxScore,trialNum,stimulus,corrAns,slideFile1,slideFile2,slideFile3
1,Demo 1,1,0,8,1,big-elephant,big_elephant_box,NA,NA,DEMO
1,Demo 1,1,0,8,2,small-elephant,small_elephant_box,NA,NA,NA
1,Demo 1,1,0,8,3,big-elephant,big_elephant_box,NA,NA,NA
1,Demo 1,1,0,8,4,small-elephant,small_elephant_box,NA,NA,NA
1,Demo 1,1,0,8,5,small-elephant,small_elephant_box,NA,NA,NA
1,Demo 1,1,0,8,6,big-elephant,big_elephant_box,NA,NA,NA
1,Demo 1,1,0,8,7,big-elephant,big_elephant_box,NA,NA,NA
1,Demo 1,1,0,8,8,small-elephant,small_elephant_box,NA,NA,NA
2,Practice 1,1,1,8,1,big-elephant,big_elephant_box,NA,NA,slide-03
2,Practice 1,1,1,8,2,small-elephant,small_elephant_box,NA,NA,NA
2,Practice 1,1,1,8,3,big-elephant,big_elephant_box,NA,NA,NA
2,Practice 1,1,1,8,4,small-elephant,small_elephant_box,NA,NA,NA
2,Practice 1,1,1,8,5,small-elephant,small_elephant_box,NA,NA,NA
2,Practice 1,1,1,8,6,big-elephant,big_elephant_box,NA,NA,NA
2,Practice 1,1,1,8,7,big-elephant,big_elephant_box,NA,NA,NA
2,Practice 1,1,1,8,8,small-elephant,small_elephant_box,NA,NA,NA
3,Practice 1,1,2,8,1,big-elephant,big_elephant_box,NA,NA,slide-03
3,Practice 1,1,2,8,2,small-elephant,small_elephant_box,NA,NA,NA
3,Practice 1,1,2,8,3,big-elephant,big_elephant_box,NA,NA,NA
3,Practice 1,1,2,8,4,small-elephant,small_elephant_box,NA,NA,NA
3,Practice 1,1,2,8,5,small-elephant,small_elephant_box,NA,NA,NA
3,Practice 1,1,2,8,6,big-elephant,big_elephant_box,NA,NA,NA
3,Practice 1,1,2,8,7,big-elephant,big_elephant_box,NA,NA,NA
3,Practice 1,1,2,8,8,small-elephant,small_elephant_box,NA,NA,NA
4,Practice 1,1,3,8,1,big-elephant,big_elephant_box,NA,NA,slide-03
4,Practice 1,1,3,8,2,small-elephant,small_elephant_box,NA,NA,NA
4,Practice 1,1,3,8,3,big-elephant,big_elephant_box,NA,NA,NA
4,Practice 1,1,3,8,4,small-elephant,small_elephant_box,NA,NA,NA
4,Practice 1,1,3,8,5,small-elephant,small_elephant_box,NA,NA,NA
4,Practice 1,1,3,8,6,big-elephant,big_elephant_box,NA,NA,NA
4,Practice 1,1,3,8,7,big-elephant,big_elephant_box,NA,NA,NA
4,Practice 1,1,3,8,8,small-elephant,small_elephant_box,NA,NA,NA
5,Rule 1,NA,NA,16,1,big-elephant,big_elephant_box,NA,NA,slide-04
5,Rule 1,NA,NA,16,2,small-elephant,small_elephant_box,NA,NA,NA
5,Rule 1,NA,NA,16,3,small-elephant,small_elephant_box,NA,NA,NA
5,Rule 1,NA,NA,16,4,big-elephant,big_elephant_box,NA,NA,NA
5,Rule 1,NA,NA,16,5,small-elephant,small_elephant_box,NA,NA,NA
5,Rule 1,NA,NA,16,6,big-elephant,big_elephant_box,NA,NA,NA
5,Rule 1,NA,NA,16,7,big-elephant,big_elephant_box,NA,NA,NA
5,Rule 1,NA,NA,16,8,small-elephant,small_elephant_box,NA,NA,NA
5,Rule 1,NA,NA,16,9,small-elephant,small_elephant_box,NA,NA,NA
5,Rule 1,NA,NA,16,10,big-elephant,big_elephant_box,NA,NA,NA
5,Rule 1,NA,NA,16,11,small-elephant,small_elephant_box,NA,NA,NA
5,Rule 1,NA,NA,16,12,big-elephant,big_elephant_box,NA,NA,NA
5,Rule 1,NA,NA,16,13,big-elephant,big_elephant_box,NA,NA,NA
5,Rule 1,NA,NA,16,14,small-elephant,small_elephant_box,NA,NA,NA
5,Rule 1,NA,NA,16,15,big-elephant,big_elephant_box,NA,NA,NA
5,Rule 1,NA,NA,16,16,small-elephant,small_elephant_box,NA,NA,NA
6,Demo 2,2,0,8,1,big-elephant,small_elephant_box,NA,NA,DEMO
6,Demo 2,2,0,8,2,small-elephant,big_elephant_box,NA,NA,NA
6,Demo 2,2,0,8,3,big-elephant,small_elephant_box,NA,NA,NA
6,Demo 2,2,0,8,4,small-elephant,big_elephant_box,NA,NA,NA
6,Demo 2,2,0,8,5,small-elephant,big_elephant_box,NA,NA,NA
6,Demo 2,2,0,8,6,big-elephant,small_elephant_box,NA,NA,NA
6,Demo 2,2,0,8,7,big-elephant,small_elephant_box,NA,NA,NA
6,Demo 2,2,0,8,8,small-elephant,big_elephant_box,NA,NA,NA
7,Practice 2,2,1,8,1,big-elephant,small_elephant_box,NA,NA,slide-06
7,Practice 2,2,1,8,2,small-elephant,big_elephant_box,NA,NA,NA
7,Practice 2,2,1,8,3,big-elephant,small_elephant_box,NA,NA,NA
7,Practice 2,2,1,8,4,small-elephant,big_elephant_box,NA,NA,NA
7,Practice 2,2,1,8,5,small-elephant,big_elephant_box,NA,NA,NA
7,Practice 2,2,1,8,6,big-elephant,small_elephant_box,NA,NA,NA
7,Practice 2,2,1,8,7,big-elephant,small_elephant_box,NA,NA,NA
7,Practice 2,2,1,8,8,small-elephant,big_elephant_box,NA,NA,NA
8,Practice 2,2,2,8,1,big-elephant,small_elephant_box,NA,NA,slide-06
8,Practice 2,2,2,8,2,small-elephant,big_elephant_box,NA,NA,NA
8,Practice 2,2,2,8,3,big-elephant,small_elephant_box,NA,NA,NA
8,Practice 2,2,2,8,4,small-elephant,big_elephant_box,NA,NA,NA
8,Practice 2,2,2,8,5,small-elephant,big_elephant_box,NA,NA,NA
8,Practice 2,2,2,8,6,big-elephant,small_elephant_box,NA,NA,NA
8,Practice 2,2,2,8,7,big-elephant,small_elephant_box,NA,NA,NA
8,Practice 2,2,2,8,8,small-elephant,big_elephant_box,NA,NA,NA
9,Practice 2,2,3,8,1,big-elephant,small_elephant_box,NA,NA,slide-06
